# Cluster-median assignment
# Andreu Meca and Jan Leyva

# Number of points
param m := 73;

# Matrix of Euclidean distances
param d : 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73 :=
11	727.0952 	2773.5070 	4970.9414 	5576.9524 	2546.8036 	4863.9952 	4470.1577 	6097.4056 	6786.1369 	9166.2286 	0.0000 	2306.0043 	2978.8730 	11134.8381 	8813.2202 	3501.7106 	10073.7106 	17478.2381 	12686.6952 	19041.0952 	7118.0452 	16453.8694 	6375.0952 	11828.2332 	7127.9286 	6119.5452 	15111.8452 	6808.7129 	8378.8552 	11417.2005 	7632.9524 	5218.5568 	5278.0952 	4596.6786 	5684.0152 	6061.2005 	8620.1952 	15853.9841 	9248.8225 	4267.4286 	705.8645 	5045.6667 	9827.4286 	5088.4952 	5683.7352 	3086.7143 	1767.5043 	2978.2202 	4845.0952 	5048.5452 	8351.2381 	3925.4952 	4591.2531 	3956.0952 	6943.8452 	1289.1952 	5858.4799 	4939.3452 	290.0952 	3218.7064 	5447.8571 	1978.2381 	4613.0952 	2158.1452 	1001.9702 	519.4048 	3863.4952 	359.3952 	166.5048 	294.1048 	1096.9048 	1409.2381 	633.9048 
12	1578.9091 	467.5027 	2664.9371 	3270.9481 	240.7992 	2557.9909 	2164.1534 	3791.4013 	4480.1326 	6860.2242 	2306.0043 	0.0000 	672.8687 	8828.8338 	6507.2159 	1195.7063 	7767.7063 	15172.2338 	10380.6909 	16735.0909 	4812.0409 	14147.8651 	4069.0909 	9522.2288 	4821.9242 	3813.5409 	12805.8409 	4502.7086 	6072.8509 	9111.1962 	5326.9481 	2912.5524 	2972.0909 	2290.6742 	3378.0109 	3755.1962 	6314.1909 	13547.9798 	6942.8182 	1961.4242 	1600.1399 	2739.6623 	7521.4242 	2782.4909 	3377.7309 	780.7100 	538.5000 	672.2159 	2539.0909 	2742.5409 	6045.2338 	1619.4909 	2285.2488 	1650.0909 	4637.8409 	1016.8091 	3552.4755 	2633.3409 	2015.9091 	912.7020 	3141.8528 	327.7662 	2307.0909 	147.8591 	1304.0341 	2825.4091 	1557.4909 	1946.6091 	2472.5091 	2600.1091 	3402.9091 	3715.2424 	2939.9091 
13	2251.7778 	205.3660 	1992.0684 	2598.0794 	432.0694 	1885.1222 	1491.2847 	3118.5326 	3807.2639 	6187.3556 	2978.8730 	672.8687 	0.0000 	8155.9651 	5834.3472 	522.8376 	7094.8376 	14499.3651 	9707.8222 	16062.2222 	4139.1722 	13474.9964 	3396.2222 	8849.3602 	4149.0556 	3140.6722 	12132.9722 	3829.8399 	5399.9822 	8438.3275 	4654.0794 	2239.6838 	2299.2222 	1617.8056 	2705.1422 	3082.3275 	5641.3222 	12875.1111 	6269.9495 	1288.5556 	2273.0085 	2066.7937 	6848.5556 	2109.6222 	2704.8622 	107.8413 	1211.3687 	0.6549 	1866.2222 	2069.6722 	5372.3651 	946.6222 	1612.3801 	977.2222 	3964.9722 	1689.6778 	2879.6068 	1960.4722 	2688.7778 	239.8333 	2468.9841 	1000.6349 	1634.2222 	820.7278 	1976.9028 	3498.2778 	884.6222 	2619.4778 	3145.3778 	3272.9778 	4075.7778 	4388.1111 	3612.7778 
14	10407.7429 	8361.3311 	6163.8967 	5557.8857 	8588.0345 	6270.8429 	6664.6804 	5037.4325 	4348.7012 	1968.6095 	11134.8381 	8828.8338 	8155.9651 	0.0000 	2321.6179 	7633.1275 	1061.1275 	6343.4000 	1551.8571 	7906.2571 	4016.7929 	5319.0313 	4759.7429 	693.3951 	4006.9095 	5015.2929 	3977.0071 	4326.1252 	2755.9829 	282.3624 	3501.8857 	5916.2813 	5856.7429 	6538.1595 	5450.8229 	5073.6376 	2514.6429 	4719.1460 	1886.0156 	6867.4095 	10428.9736 	6089.1714 	1307.4095 	6046.3429 	5451.1029 	8048.1238 	9367.3338 	8156.6179 	6289.7429 	6086.2929 	2783.6000 	7209.3429 	6543.5850 	7178.7429 	4190.9929 	9845.6429 	5276.3582 	6195.4929 	10844.7429 	7916.1317 	5686.9810 	9156.6000 	6521.7429 	8976.6929 	10132.8679 	11654.2429 	7271.3429 	10775.4429 	11301.3429 	11428.9429 	12231.7429 	12544.0762 	11768.7429 
15	8086.1250 	6039.7132 	3842.2788 	3236.2679 	6266.4167 	3949.2250 	4343.0625 	2715.8147 	2027.0833 	353.0083 	8813.2202 	6507.2159 	5834.3472 	2321.6179 	0.0000 	5311.5096 	1260.4904 	8665.0179 	3873.4750 	10227.8750 	1695.1750 	7640.6492 	2438.1250 	3015.0129 	1685.2917 	2693.6750 	6298.6250 	2004.5074 	434.3650 	2603.9803 	1180.2679 	3594.6635 	3535.1250 	4216.5417 	3129.2050 	2752.0197 	193.0250 	7040.7639 	435.6023 	4545.7917 	8107.3558 	3767.5536 	1014.2083 	3724.7250 	3129.4850 	5726.5060 	7045.7159 	5835.0000 	3968.1250 	3764.6750 	461.9821 	4887.7250 	4221.9671 	4857.1250 	1869.3750 	7524.0250 	2954.7404 	3873.8750 	8523.1250 	5594.5139 	3365.3631 	6834.9821 	4200.1250 	6655.0750 	7811.2500 	9332.6250 	4949.7250 	8453.8250 	8979.7250 	9107.3250 	9910.1250 	10222.4583 	9447.1250 
16	2774.6154 	728.2036 	1469.2308 	2075.2418 	954.9071 	1362.2846 	968.4471 	2595.6950 	3284.4263 	5664.5179 	3501.7106 	1195.7063 	522.8376 	7633.1275 	5311.5096 	0.0000 	6572.0000 	13976.5275 	9184.9846 	15539.3846 	3616.3346 	12952.1588 	2873.3846 	8326.5225 	3626.2179 	2617.8346 	11610.1346 	3307.0023 	4877.1446 	7915.4899 	4131.2418 	1716.8462 	1776.3846 	1094.9679 	2182.3046 	2559.4899 	5118.4846 	12352.2735 	5747.1119 	765.7179 	2795.8462 	1543.9560 	6325.7179 	1586.7846 	2182.0246 	414.9963 	1734.2063 	523.4904 	1343.3846 	1546.8346 	4849.5275 	423.7846 	1089.5425 	454.3846 	3442.1346 	2212.5154 	2356.7692 	1437.6346 	3211.6154 	283.0043 	1946.1465 	1523.4725 	1111.3846 	1343.5654 	2499.7404 	4021.1154 	361.7846 	3142.3154 	3668.2154 	3795.8154 	4598.6154 	4910.9487 	4135.6154 
17	9346.6154 	7300.2036 	5102.7692 	4496.7582 	7526.9071 	5209.7154 	5603.5529 	3976.3050 	3287.5737 	907.4821 	10073.7106 	7767.7063 	7094.8376 	1061.1275 	1260.4904 	6572.0000 	0.0000 	7404.5275 	2612.9846 	8967.3846 	2955.6654 	6380.1588 	3698.6154 	1754.5225 	2945.7821 	3954.1654 	5038.1346 	3264.9977 	1694.8554 	1343.4899 	2440.7582 	4855.1538 	4795.6154 	5477.0321 	4389.6954 	4012.5101 	1453.5154 	5780.2735 	824.8881 	5806.2821 	9367.8462 	5028.0440 	246.2821 	4985.2154 	4389.9754 	6986.9963 	8306.2063 	7095.4904 	5228.6154 	5025.1654 	1722.4725 	6148.2154 	5482.4575 	6117.6154 	3129.8654 	8784.5154 	4215.2308 	5134.3654 	9783.6154 	6855.0043 	4625.8535 	8095.4725 	5460.6154 	7915.5654 	9071.7404 	10593.1154 	6210.2154 	9714.3154 	10240.2154 	10367.8154 	11170.6154 	11482.9487 	10707.6154 
18	16751.1429 	14704.7311 	12507.2967 	11901.2857 	14931.4345 	12614.2429 	13008.0804 	11380.8325 	10692.1012 	8312.0095 	17478.2381 	15172.2338 	14499.3651 	6343.4000 	8665.0179 	13976.5275 	7404.5275 	0.0000 	4791.5429 	1562.8571 	10360.1929 	1024.3687 	11103.1429 	5650.0049 	10350.3095 	11358.6929 	2366.3929 	10669.5252 	9099.3829 	6061.0376 	9845.2857 	12259.6813 	12200.1429 	12881.5595 	11794.2229 	11417.0376 	8858.0429 	1624.2540 	8229.4156 	13210.8095 	16772.3736 	12432.5714 	7650.8095 	12389.7429 	11794.5029 	14391.5238 	15710.7338 	14500.0179 	12633.1429 	12429.6929 	9127.0000 	13552.7429 	12886.9850 	13522.1429 	10534.3929 	16189.0429 	11619.7582 	12538.8929 	17188.1429 	14259.5318 	12030.3810 	15500.0000 	12865.1429 	15320.0929 	16476.2679 	17997.6429 	13614.7429 	17118.8429 	17644.7429 	17772.3429 	18575.1429 	18887.4762 	18112.1429 
19	11959.6000 	9913.1882 	7715.7538 	7109.7429 	10139.8917 	7822.7000 	8216.5375 	6589.2897 	5900.5583 	3520.4667 	12686.6952 	10380.6909 	9707.8222 	1551.8571 	3873.4750 	9184.9846 	2612.9846 	4791.5429 	0.0000 	6354.4000 	5568.6500 	3767.1742 	6311.6000 	858.4621 	5558.7667 	6567.1500 	2425.1500 	5877.9824 	4307.8400 	1269.4947 	5053.7429 	7468.1385 	7408.6000 	8090.0167 	7002.6800 	6625.4947 	4066.5000 	3167.2889 	3437.8727 	8419.2667 	11980.8308 	7641.0286 	2859.2667 	7598.2000 	7002.9600 	9599.9810 	10919.1909 	9708.4750 	7841.6000 	7638.1500 	4335.4571 	8761.2000 	8095.4421 	8730.6000 	5742.8500 	11397.5000 	6828.2154 	7747.3500 	12396.6000 	9467.9889 	7238.8381 	10708.4571 	8073.6000 	10528.5500 	11684.7250 	13206.1000 	8823.2000 	12327.3000 	12853.2000 	12980.8000 	13783.6000 	14095.9333 	13320.6000 
20	18314.0000 	16267.5882 	14070.1539 	13464.1429 	16494.2917 	14177.1000 	14570.9375 	12943.6897 	12254.9583 	9874.8667 	19041.0952 	16735.0909 	16062.2222 	7906.2571 	10227.8750 	15539.3846 	8967.3846 	1562.8571 	6354.4000 	0.0000 	11923.0500 	2587.2258 	12666.0000 	7212.8621 	11913.1667 	12921.5500 	3929.2500 	12232.3824 	10662.2400 	7623.8947 	11408.1429 	13822.5385 	13763.0000 	14444.4167 	13357.0800 	12979.8947 	10420.9000 	3187.1111 	9792.2727 	14773.6667 	18335.2308 	13995.4286 	9213.6667 	13952.6000 	13357.3600 	15954.3810 	17273.5909 	16062.8750 	14196.0000 	13992.5500 	10689.8571 	15115.6000 	14449.8421 	15085.0000 	12097.2500 	17751.9000 	13182.6154 	14101.7500 	18751.0000 	15822.3889 	13593.2381 	17062.8571 	14428.0000 	16882.9500 	18039.1250 	19560.5000 	15177.6000 	18681.7000 	19207.6000 	19335.2000 	20138.0000 	20450.3333 	19675.0000 
21	6390.9500 	4344.5382 	2147.1038 	1541.0929 	4571.2417 	2254.0500 	2647.8875 	1020.6397 	331.9083 	2048.1833 	7118.0452 	4812.0409 	4139.1722 	4016.7929 	1695.1750 	3616.3346 	2955.6654 	10360.1929 	5568.6500 	11923.0500 	0.0000 	9335.8242 	742.9500 	4710.1879 	9.8834 	998.5000 	7993.8000 	309.3324 	1260.8100 	4299.1553 	514.9071 	1899.4885 	1839.9500 	2521.3667 	1434.0300 	1056.8447 	1502.1500 	8735.9389 	2130.7773 	2850.6167 	6412.1808 	2072.3786 	2709.3833 	2029.5500 	1434.3100 	4031.3310 	5350.5409 	4139.8250 	2272.9500 	2069.5000 	1233.1929 	3192.5500 	2526.7921 	3161.9500 	174.2000 	5828.8500 	1259.5654 	2178.7000 	6827.9500 	3899.3389 	1670.1881 	5139.8071 	2504.9500 	4959.9000 	6116.0750 	7637.4500 	3254.5500 	6758.6500 	7284.5500 	7412.1500 	8214.9500 	8527.2833 	7751.9500 
22	15726.7742 	13680.3624 	11482.9280 	10876.9171 	13907.0659 	11589.8742 	11983.7117 	10356.4639 	9667.7325 	7287.6409 	16453.8694 	14147.8651 	13474.9964 	5319.0313 	7640.6492 	12952.1588 	6380.1588 	1024.3687 	3767.1742 	2587.2258 	9335.8242 	0.0000 	10078.7742 	4625.6363 	9325.9409 	10334.3242 	1342.0242 	9645.1565 	8075.0142 	5036.6689 	8820.9171 	11235.3127 	11175.7742 	11857.1909 	10769.8542 	10392.6689 	7833.6742 	599.8853 	7205.0469 	12186.4409 	15748.0050 	11408.2028 	6626.4409 	11365.3742 	10770.1342 	13367.1552 	14686.3651 	13475.6492 	11608.7742 	11405.3242 	8102.6313 	12528.3742 	11862.6163 	12497.7742 	9510.0242 	15164.6742 	10595.3896 	11514.5242 	16163.7742 	13235.1631 	11006.0123 	14475.6313 	11840.7742 	14295.7242 	15451.8992 	16973.2742 	12590.3742 	16094.4742 	16620.3742 	16747.9742 	17550.7742 	17863.1075 	17087.7742 
23	5648.0000 	3601.5882 	1404.1538 	798.1429 	3828.2917 	1511.1000 	1904.9375 	277.6897 	411.0417 	2791.1333 	6375.0952 	4069.0909 	3396.2222 	4759.7429 	2438.1250 	2873.3846 	3698.6154 	11103.1429 	6311.6000 	12666.0000 	742.9500 	10078.7742 	0.0000 	5453.1379 	752.8333 	255.5500 	8736.7500 	433.6176 	2003.7600 	5042.1053 	1257.8571 	1156.5385 	1097.0000 	1778.4167 	691.0800 	313.8947 	2245.1000 	9478.8889 	2873.7273 	2107.6667 	5669.2308 	1329.4286 	3452.3333 	1286.6000 	691.3600 	3288.3810 	4607.5909 	3396.8750 	1530.0000 	1326.5500 	1976.1429 	2449.6000 	1783.8421 	2419.0000 	568.7500 	5085.9000 	516.6154 	1435.7500 	6085.0000 	3156.3889 	927.2381 	4396.8571 	1762.0000 	4216.9500 	5373.1250 	6894.5000 	2511.6000 	6015.7000 	6541.6000 	6669.2000 	7472.0000 	7784.3333 	7009.0000 
24	11101.1379 	9054.7262 	6857.2918 	6251.2808 	9281.4296 	6964.2379 	7358.0754 	5730.8276 	5042.0963 	2662.0046 	11828.2332 	9522.2288 	8849.3602 	693.3951 	3015.0129 	8326.5225 	1754.5225 	5650.0049 	858.4621 	7212.8621 	4710.1879 	4625.6363 	5453.1379 	0.0000 	4700.3046 	5708.6879 	3283.6121 	5019.5203 	3449.3779 	411.0327 	4195.2808 	6609.6764 	6550.1379 	7231.5546 	6144.2179 	5767.0327 	3208.0379 	4025.7510 	2579.4107 	7560.8046 	11122.3687 	6782.5665 	2000.8046 	6739.7379 	6144.4979 	8741.5189 	10060.7288 	8850.0129 	6983.1379 	6779.6879 	3476.9951 	7902.7379 	7236.9800 	7872.1379 	4884.3879 	10539.0379 	5969.7533 	6888.8879 	11538.1379 	8609.5268 	6380.3760 	9849.9951 	7215.1379 	9670.0879 	10826.2629 	12347.6379 	7964.7379 	11468.8379 	11994.7379 	12122.3379 	12925.1379 	13237.4713 	12462.1379 
25	6400.8333 	4354.4216 	2156.9872 	1550.9762 	4581.1250 	2263.9333 	2657.7708 	1030.5230 	341.7917 	2038.3000 	7127.9286 	4821.9242 	4149.0556 	4006.9095 	1685.2917 	3626.2179 	2945.7821 	10350.3095 	5558.7667 	11913.1667 	9.8834 	9325.9409 	752.8333 	4700.3046 	0.0000 	1008.3833 	7983.9167 	319.2157 	1250.9267 	4289.2719 	505.0238 	1909.3718 	1849.8333 	2531.2500 	1443.9133 	1066.7281 	1492.2667 	8726.0556 	2120.8939 	2860.5000 	6422.0641 	2082.2619 	2699.5000 	2039.4333 	1444.1933 	4041.2143 	5360.4242 	4149.7083 	2282.8333 	2079.3833 	1223.3095 	3202.4333 	2536.6754 	3171.8333 	184.0833 	5838.7333 	1269.4487 	2188.5833 	6837.8333 	3909.2222 	1680.0714 	5149.6905 	2514.8333 	4969.7833 	6125.9583 	7647.3333 	3264.4333 	6768.5333 	7294.4333 	7422.0333 	8224.8333 	8537.1667 	7761.8333 
26	5392.4500 	3346.0382 	1148.6038 	542.5929 	3572.7417 	1255.5500 	1649.3875 	22.1398 	666.5917 	3046.6833 	6119.5452 	3813.5409 	3140.6722 	5015.2929 	2693.6750 	2617.8346 	3954.1654 	11358.6929 	6567.1500 	12921.5500 	998.5000 	10334.3242 	255.5500 	5708.6879 	1008.3833 	0.0000 	8992.3000 	689.1676 	2259.3100 	5297.6553 	1513.4071 	900.9885 	841.4500 	1522.8667 	435.5300 	58.3447 	2500.6500 	9734.4389 	3129.2773 	1852.1167 	5413.6808 	1073.8786 	3707.8833 	1031.0500 	435.8100 	3032.8310 	4352.0409 	3141.3250 	1274.4500 	1071.0000 	2231.6929 	2194.0500 	1528.2921 	2163.4500 	824.3000 	4830.3500 	261.0654 	1180.2000 	5829.4500 	2900.8389 	671.6881 	4141.3071 	1506.4500 	3961.4000 	5117.5750 	6638.9500 	2256.0500 	5760.1500 	6286.0500 	6413.6500 	7216.4500 	7528.7833 	6753.4500 
