# Cluster-median assignment
# Andreu Meca and Jan Leyva

# Number of points
param m := 25;

# Matrix of Euclidean distances
param d : 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25 :=
17	0.055416511	0.053002195	0.073474278	0.030921636	0.029808018	0.025158002	0.068235286	0.047152972	0.018100209	0.01414713	0.05816627	0.065254278	0.09696549	0.084929791	0.081318122	0.01471379	0	0.066709811	0.050777805	0.030033741	0.047485327	0.020655917	0.020431149	0.008027832	0.028328303
18	0.015420466	0.103048903	0.036211497	0.037951615	0.050979593	0.042079236	0.010749193	0.021875129	0.079833602	0.059681228	0.056490653	0.049643045	0.071260037	0.057176104	0.047404501	0.067023665	0.066709811	0	0.018638292	0.077769535	0.03009036	0.046054012	0.050488013	0.068594798	0.070602442
19	0.018502968	0.093241634	0.046642003	0.020350934	0.042114567	0.02562022	0.025804711	0.017012545	0.065819965	0.04643091	0.057103874	0.053984328	0.081193747	0.066706876	0.058057533	0.053947827	0.050777805	0.018638292	0	0.067083891	0.028304414	0.030615088	0.037895123	0.054025696	0.06045636
20	0.063075046	0.026262059	0.069512312	0.051691394	0.026956442	0.045104415	0.075009418	0.055894866	0.017354528	0.02244045	0.043485708	0.054389823	0.082312593	0.0734616	0.073484429	0.016285624	0.030033741	0.077769535	0.067083891	0	0.049796727	0.039252013	0.029414038	0.022006013	0.007343969
21	0.014677317	0.073962842	0.026644842	0.030857818	0.023069004	0.029744359	0.025344821	0.011300208	0.055703021	0.036109836	0.028834392	0.026571829	0.056708501	0.042631018	0.036210401	0.042395937	0.047485327	0.03009036	0.028304414	0.049796727	0	0.029724067	0.027400218	0.046276679	0.042456884
22	0.035232611	0.065350933	0.05636879	0.012481094	0.021548271	0.005865469	0.047933454	0.027034936	0.035309446	0.016983117	0.048653102	0.052403792	0.084283856	0.070950369	0.06560592	0.024236723	0.020655917	0.046054012	0.030615088	0.039252013	0.029724067	0	0.011177068	0.023435256	0.033806709
23	0.037231617	0.055675057	0.053065722	0.022877872	0.011311725	0.016577017	0.050008515	0.029165302	0.029474763	0.009255638	0.039872654	0.045517439	0.077478123	0.064945448	0.060951063	0.016539339	0.020431149	0.050488013	0.037895123	0.029414038	0.027400218	0.011177068	0	0.019020619	0.023300956
24	0.056042586	0.045440867	0.071240724	0.035214609	0.025889635	0.02885367	0.068873377	0.047862633	0.011968044	0.010261177	0.053016437	0.061137548	0.092351995	0.080968631	0.078211088	0.007289072	0.008027832	0.068594798	0.054025696	0.022006013	0.046276679	0.023435256	0.019020619	0	0.020645439
25	0.055815373	0.032820044	0.06247586	0.046048687	0.019684236	0.03956538	0.067687272	0.048738967	0.020256335	0.017795644	0.037574292	0.047985746	0.07690101	0.0673698	0.066864915	0.013619502	0.028328303	0.070602442	0.06045636	0.007343969	0.042456884	0.033806709	0.023300956	0.020645439	0;

# Number of clusters
param k := 2;
